x,y,z,x2,y2,z2,altezza
-0.60,1.31,0.05,0.36,1.34,0.17,1.57
-0.43,1.30,0.08,0.18,1.38,0.13,1.56
-0.41,1.30,0.11,0.24,1.36,0.06,1.56
-0.42,1.33,0.08,0.21,1.07,0.01,1.56
-0.46,0.91,0.06,0.13,1.17,0.07,1.56
-0.40,1.17,0.05,0.10,1.15,0.05,1.56
-0.28,1.28,0.08,0.11,1.25,0.11,1.56
-0.21,1.01,-0.08,0.10,1.05,-0.05,1.55
-0.27,1.19,0.01,0.11,1.23,0.07,1.56
-0.28,1.14,-0.00,0.08,1.16,0.03,1.56
-0.26,0.88,0.07,0.09,0.90,0.09,1.56
-0.24,1.18,0.02,0.07,1.23,0.07,1.56
-0.24,1.28,0.08,0.06,1.28,0.11,1.57
-0.23,1.20,0.01,0.05,1.21,0.04,1.57
-0.24,0.97,0.02,0.07,1.05,0.05,1.57
-0.23,0.89,0.06,0.06,0.90,0.09,1.56
-0.22,1.08,-0.02,0.06,1.17,0.04,1.56
-0.23,1.28,0.02,0.03,1.24,0.03,1.57
-0.56,1.29,-0.08,0.39,1.32,0.01,1.57
-0.43,1.28,-0.01,0.20,1.30,0.04,1.57
-0.28,1.11,0.00,0.08,1.11,0.06,1.57
-0.56,1.59,-0.01,0.07,1.13,0.08,1.57
-0.42,1.34,0.02,0.03,1.11,0.08,1.57
-0.40,1.31,0.09,0.07,1.23,0.02,1.57
-0.39,1.32,0.11,0.26,1.53,0.13,1.57
-0.33,1.26,0.08,0.09,1.28,0.08,1.57
-0.28,1.22,0.07,0.04,1.22,0.08,1.57
-0.21,1.20,0.06,-0.05,1.23,0.10,1.56
-0.55,1.28,-0.06,0.37,1.29,0.05,1.57
-0.42,1.26,-0.03,0.16,1.31,0.03,1.57
-0.36,1.31,0.06,0.10,1.35,0.09,1.56
-0.30,1.26,0.02,0.07,1.31,0.07,1.56
-0.29,0.94,0.02,0.09,1.00,0.03,1.57
-0.31,1.06,0.02,0.07,1.05,0.04,1.56
-0.25,0.87,0.05,0.07,0.88,0.04,1.56
-0.27,1.15,-0.05,0.08,1.24,0.00,1.56
-0.28,1.29,0.03,0.07,1.29,0.06,1.56
-0.25,0.92,-0.01,0.06,0.98,-0.01,1.57
-0.24,1.04,-0.02,0.03,1.06,0.02,1.57
-0.50,1.58,-0.11,0.34,1.53,0.01,1.57
