x,y,z,x2,y2,z2,altezza
0.14,1.12,-0.06,-0.12,1.12,-0.08,1.55
0.14,1.24,-0.03,-0.06,1.20,-0.04,1.55
0.15,1.23,-0.02,-0.06,1.17,-0.06,1.55
0.15,1.19,-0.01,-0.28,1.20,-0.09,1.55
0.33,1.18,-0.05,-0.13,1.18,-0.05,1.55
0.18,1.21,-0.04,-0.09,1.18,-0.04,1.55
0.27,1.31,-0.05,-0.22,1.30,-0.06,1.55
0.21,1.33,-0.01,-0.18,1.34,-0.02,1.55
0.15,1.28,-0.01,-0.13,1.28,-0.03,1.55
0.19,1.34,-0.00,-0.16,1.33,-0.04,1.55
0.30,1.22,-0.05,-0.26,1.24,-0.07,1.55
0.18,1.29,-0.03,-0.14,1.30,-0.05,1.55
0.17,1.07,-0.02,-0.14,1.08,-0.05,1.55
0.27,1.17,-0.07,-0.22,1.13,-0.08,1.55
0.20,1.16,-0.04,-0.17,1.16,-0.07,1.55
0.18,1.25,-0.04,-0.13,1.26,-0.07,1.55
0.17,1.17,-0.08,-0.13,1.20,-0.11,1.55
0.19,1.21,-0.06,-0.09,1.20,-0.07,1.55
0.18,1.00,-0.05,-0.08,1.18,-0.03,1.55
0.20,1.20,-0.09,-0.11,1.20,-0.02,1.55
0.20,1.28,-0.03,-0.11,1.25,-0.04,1.55
0.21,1.26,-0.01,-0.19,1.15,-0.12,1.55
0.21,1.20,-0.01,-0.15,1.11,-0.07,1.55
0.32,1.31,-0.07,-0.22,1.34,-0.11,1.55
0.30,1.31,-0.02,-0.21,1.33,-0.04,1.55
0.21,1.35,-0.03,-0.12,1.25,-0.03,1.55
0.30,1.23,-0.10,-0.14,1.25,-0.02,1.55
0.22,1.27,-0.05,-0.27,1.18,-0.12,1.55
0.19,1.26,-0.04,-0.25,1.17,-0.07,1.55
0.18,1.25,-0.04,-0.15,1.23,-0.07,1.55
0.18,1.30,-0.04,-0.10,1.29,-0.07,1.55
0.16,1.14,-0.09,-0.11,1.17,-0.10,1.55
0.16,1.25,-0.04,-0.08,1.24,-0.07,1.55
0.15,1.12,-0.03,-0.07,1.10,-0.07,1.55
0.18,1.09,-0.09,-0.10,1.09,-0.11,1.55
0.15,1.18,-0.06,-0.10,1.16,-0.09,1.55
0.15,1.26,-0.04,-0.08,1.23,-0.07,1.55
0.16,1.19,-0.07,-0.10,1.20,-0.10,1.55
0.16,1.08,-0.03,-0.11,1.05,-0.06,1.55
0.16,0.94,-0.02,-0.11,0.94,-0.04,1.55
0.15,1.13,-0.08,-0.13,1.11,-0.10,1.55
0.13,1.14,-0.05,-0.08,1.16,-0.08,1.55
0.36,1.30,-0.02,-0.32,1.31,-0.07,1.56
0.18,1.21,-0.03,-0.15,1.22,-0.06,1.56
0.16,1.17,-0.04,-0.14,1.21,-0.09,1.56
0.16,1.17,-0.03,-0.30,1.45,-0.05,1.56
0.15,1.14,-0.01,-0.19,1.27,-0.04,1.56
0.37,1.42,-0.00,-0.17,1.26,-0.03,1.56
0.23,1.29,-0.01,-0.13,1.25,-0.03,1.56
0.16,1.22,-0.00,-0.10,1.21,-0.03,1.56
0.16,1.22,-0.02,-0.10,1.22,-0.04,1.56
0.18,1.25,-0.06,-0.11,1.26,-0.07,1.56
0.30,1.31,-0.04,-0.27,1.34,-0.05,1.56
0.18,1.26,-0.03,-0.13,1.26,-0.06,1.55
0.19,1.28,-0.04,-0.14,1.27,-0.07,1.55
0.16,1.13,-0.08,-0.13,1.15,-0.13,1.56
0.16,1.14,-0.05,-0.11,1.09,-0.09,1.56
0.18,1.14,-0.06,-0.10,1.11,-0.09,1.55
0.18,1.14,-0.11,-0.12,1.09,-0.13,1.55
0.16,1.28,-0.06,-0.12,1.26,-0.09,1.55
