x,y,z,x2,y2,z2
-0.05,1.06,0.10,0.25,1.17,-0.00
-0.03,1.04,0.11,0.38,1.26,-0.11
-0.00,1.02,0.12,0.48,0.84,0.10
0.06,1.07,0.08,0.28,0.91,0.13
-0.10,1.24,-0.05,0.26,0.93,0.16
-0.51,0.92,-0.01,0.24,0.92,0.20
-0.30,0.83,0.19,0.22,0.94,0.15
-0.14,1.06,0.07,0.23,1.25,-0.07
-0.17,1.07,0.07,0.23,0.82,0.07
-0.18,1.23,-0.06,0.27,0.90,0.14
-0.15,0.87,0.02,0.30,0.93,0.17
-0.12,0.96,0.09,0.22,0.95,0.10
-0.11,1.26,-0.01,0.20,1.20,-0.03
-0.09,1.15,-0.07,0.23,1.14,-0.08
-0.04,0.90,0.14,0.21,0.88,0.12
-0.03,0.96,0.11,0.18,0.95,0.09
-0.05,0.97,0.11,0.20,0.96,0.10
-0.06,0.99,0.10,0.20,0.98,0.09
-0.11,1.12,0.03,0.24,1.09,0.01
-0.22,1.45,-0.06,0.37,1.45,-0.11
-0.56,1.66,0.22,0.67,1.66,0.24
-0.20,1.06,0.05,0.32,1.04,0.09
-0.02,1.05,0.11,0.18,1.03,0.10
-0.00,1.05,0.12,0.19,1.03,0.10
0.02,1.05,0.13,0.20,1.04,0.10
0.03,1.05,0.13,0.20,1.04,0.10
0.00,1.06,0.12,0.20,1.04,0.10
-0.03,1.09,0.09,0.21,1.08,0.06
-0.24,1.30,-0.09,0.30,1.32,-0.10
-0.53,1.05,0.15,0.67,1.06,0.16
-0.27,0.93,0.06,0.32,0.88,0.18
-0.34,1.29,-0.13,0.29,0.94,0.18
-0.33,1.28,-0.02,0.29,0.95,0.16
-0.11,0.95,0.13,0.34,1.11,-0.02
-0.11,0.99,0.10,0.52,1.40,-0.03
-0.04,1.00,0.10,0.26,0.95,0.08
-0.06,1.13,0.05,0.19,1.11,0.00
-0.17,1.04,-0.12,0.20,0.96,-0.11
-0.25,1.28,-0.16,0.32,1.24,-0.18
-0.51,1.21,0.12,0.59,1.15,0.11
-0.14,0.98,0.10,0.25,0.94,0.11
-0.06,1.00,0.09,0.20,0.96,0.09
-0.11,1.13,0.00,0.21,1.10,-0.03
-0.12,1.33,-0.07,0.21,1.32,-0.10
-0.07,1.11,-0.11,0.20,1.08,-0.13
-0.53,1.37,0.11,0.64,1.34,0.06
-0.21,1.39,-0.04,0.31,1.39,-0.03
-0.06,0.92,-0.03,0.16,0.85,0.00
-0.05,0.97,0.08,0.21,0.91,0.12
-0.06,1.13,-0.04,0.22,0.93,0.13
-0.53,1.07,-0.02,0.27,1.03,0.05
-0.11,0.95,0.11,0.61,1.09,-0.07
-0.05,1.04,0.04,0.40,1.05,0.02
-0.24,1.33,-0.18,0.35,1.35,-0.18
-0.46,1.15,0.02,0.54,1.15,0.04
-0.19,1.09,0.00,0.25,1.04,0.01
-0.22,1.32,-0.04,0.27,1.34,-0.06
-0.35,0.90,-0.05,0.35,0.84,0.00
-0.27,0.89,0.11,0.28,0.85,0.16
-0.32,0.92,0.02,0.29,0.88,0.06
-0.46,0.98,-0.17,0.45,1.05,-0.20
-0.30,1.38,0.02,0.37,1.42,0.01
-0.17,1.36,-0.02,0.28,1.36,0.02
-0.12,0.97,-0.09,0.21,0.91,-0.09
-0.05,0.89,0.15,0.19,0.85,0.12
-0.04,0.95,0.13,0.22,0.86,0.01
-0.09,1.09,0.07,0.25,1.25,-0.09
-0.12,0.99,-0.03,0.27,1.03,0.05
-0.12,1.27,-0.04,0.33,1.04,0.08
0.03,1.19,-0.02,0.24,1.12,-0.03
-0.45,1.28,-0.03,0.58,1.37,-0.17
-0.37,1.05,0.09,0.54,1.10,0.04
-0.07,0.99,0.08,0.34,1.29,-0.08
-0.13,0.98,0.11,0.41,0.94,-0.17
-0.31,1.21,-0.01,0.32,0.86,0.03
-0.24,0.84,0.14,0.34,0.90,0.11
-0.04,0.99,0.04,0.24,0.96,0.06
-0.09,1.30,-0.03,0.22,1.26,-0.06
-0.09,0.96,-0.03,0.20,0.90,-0.06
-0.05,0.93,0.07,0.23,0.89,0.06
-0.08,0.96,0.03,0.22,0.89,0.04
-0.11,0.89,-0.05,0.20,0.87,-0.05
-0.13,1.36,0.01,0.23,1.34,-0.03
-0.15,1.31,0.01,0.19,1.30,0.00
-0.15,1.06,-0.09,0.19,1.00,-0.10
-0.11,0.87,0.04,0.19,0.85,0.03
-0.09,0.87,0.01,0.19,0.85,-0.00
-0.09,1.21,-0.07,0.21,1.15,-0.11
-0.04,1.23,-0.08,0.18,1.22,-0.13
-0.55,1.26,0.06,0.64,1.27,-0.01
-0.22,1.12,-0.02,0.32,1.10,-0.03
-0.20,1.30,-0.11,0.24,1.08,-0.03
-0.57,1.74,0.15,0.32,1.04,0.00
-0.26,1.06,-0.01,0.24,1.06,-0.02
-0.11,1.02,0.04,0.62,1.68,-0.04
-0.09,1.00,0.06,0.52,1.35,-0.02
-0.05,1.01,0.07,0.26,1.03,0.01
-0.08,1.05,0.05,0.22,1.08,-0.03
-0.11,1.25,-0.08,0.20,1.21,-0.10
-0.60,1.33,0.07,0.70,1.27,0.02
-0.27,1.03,0.04,0.39,1.03,0.03
-0.12,1.20,-0.05,0.22,1.19,-0.07
-0.11,1.15,-0.13,0.21,1.13,-0.15
-0.12,0.92,0.02,0.20,0.87,0.02
-0.12,0.92,-0.00,0.20,0.88,0.00
-0.12,0.92,-0.17,0.23,0.94,-0.19
-0.07,1.32,-0.09,0.21,1.26,-0.13
-0.09,1.22,-0.11,0.23,1.20,-0.14
-0.07,0.97,-0.03,0.22,0.95,-0.06
-0.11,1.27,-0.11,0.26,1.23,-0.14
-0.56,1.72,0.07,0.71,1.65,-0.03
-0.31,1.15,-0.05,0.44,1.14,-0.04
-0.08,1.07,-0.01,0.25,1.15,-0.08
-0.07,1.06,0.04,0.21,0.85,-0.04
-0.05,1.02,0.07,0.20,0.90,0.05
-0.07,1.03,0.07,0.16,1.02,-0.06
-0.10,1.22,-0.03,0.20,0.95,-0.01
-0.15,0.90,-0.04,0.28,0.92,0.10
-0.10,0.93,0.05,0.25,0.97,0.02
-0.11,1.09,-0.01,0.21,1.06,-0.04
-0.10,1.13,-0.02,0.20,1.07,-0.04
-0.09,1.15,-0.02,0.19,1.11,-0.06
-0.52,1.36,-0.09,0.63,1.34,-0.14
-0.42,1.13,0.05,0.57,1.10,0.05
-0.09,1.08,-0.01,0.27,1.04,-0.02
-0.08,1.21,-0.04,0.21,1.21,-0.08
-0.17,1.02,-0.13,0.19,0.94,-0.15
-0.11,0.93,0.04,0.20,0.88,0.03
-0.09,0.96,0.01,0.20,0.92,-0.01
-0.11,0.94,-0.01,0.18,0.90,-0.03
-0.15,0.97,-0.17,0.23,0.98,-0.21
-0.04,1.14,-0.04,0.20,1.11,-0.09
-0.02,1.08,0.04,0.21,1.04,-0.02
-0.04,1.15,0.02,0.20,1.11,-0.06
-0.07,1.16,0.00,0.18,1.12,-0.07
-0.24,1.37,-0.09,0.32,1.39,-0.17
-0.61,1.68,0.23,0.70,1.73,0.11
-0.30,1.12,-0.04,0.41,1.12,-0.04
-0.11,1.21,-0.07,0.23,1.18,-0.12
-0.07,0.94,0.02,0.21,0.91,-0.01
-0.19,0.83,0.06,0.33,0.88,-0.03
-0.30,1.35,0.01,0.44,1.34,-0.10
-0.13,1.28,-0.11,0.26,1.28,-0.11
-0.08,0.88,0.08,0.20,0.85,0.07
-0.09,0.90,0.08,0.21,0.88,0.05
-0.09,1.18,-0.04,0.20,1.15,-0.07
-0.08,1.31,-0.06,0.21,1.31,-0.09
-0.23,0.98,-0.15,0.24,0.90,-0.13
-0.17,0.84,0.09,0.28,0.80,0.10
-0.12,0.92,-0.01,0.28,0.85,0.05
-0.10,0.94,-0.00,0.27,0.88,0.04
-0.11,0.92,0.09,0.19,0.88,0.04
-0.13,0.91,0.19,0.07,0.91,0.06
-0.18,0.93,0.30,-0.03,0.94,0.12
-0.21,0.95,0.35,-0.06,0.94,0.18
-0.21,0.95,0.40,-0.11,0.96,0.21
-0.21,0.95,0.41,-0.10,0.96,0.22
-0.20,0.95,0.40,-0.07,0.95,0.23
-0.19,0.95,0.40,-0.05,0.95,0.24
-0.19,0.95,0.39,-0.04,0.95,0.24
