x,y,z,x2,y2,z2,altezza
-0.41,0.92,-0.06,0.28,1.35,-0.03,1.59
-0.30,0.86,0.06,0.29,1.52,-0.02,1.59
-0.31,1.05,0.01,0.35,1.04,-0.23,1.58
-0.30,1.04,0.03,0.13,0.91,0.00,1.59
-0.24,1.05,-0.02,0.12,1.06,-0.02,1.58
-0.16,1.31,-0.21,0.13,1.30,-0.20,1.57
-0.46,0.95,-0.02,0.44,0.95,0.03,1.57
-0.12,1.32,-0.09,-0.01,1.31,-0.10,1.58
-0.30,1.11,0.01,0.11,1.14,0.01,1.58
-0.21,1.12,0.03,0.16,1.14,0.02,1.58
-0.18,1.13,-0.03,0.17,1.11,-0.03,1.58
-0.19,1.43,-0.13,0.17,1.39,-0.14,1.57
-0.23,0.85,-0.10,0.19,0.82,-0.08,1.57
-0.64,1.36,-0.01,0.57,1.31,-0.07,1.58
-0.29,1.29,-0.12,0.13,1.35,-0.13,1.58
-0.20,1.38,-0.13,0.18,1.34,-0.13,1.57
-0.20,0.85,0.08,0.16,0.82,0.09,1.58
-0.40,1.20,-0.03,0.36,1.22,-0.06,1.58
-0.45,1.21,-0.16,0.36,1.26,-0.07,1.58
-0.18,1.09,-0.09,0.41,1.22,-0.11,1.58
-0.35,1.10,-0.02,0.11,0.97,-0.04,1.58
-0.47,1.24,-0.09,0.30,1.10,-0.08,1.58
-0.28,1.40,-0.25,0.29,1.23,-0.16,1.59
-0.31,1.21,-0.16,0.20,1.20,-0.16,1.58
-0.31,1.45,-0.12,0.26,1.44,-0.14,1.58
-0.31,1.39,-0.20,0.31,1.36,-0.19,1.58
-0.34,0.77,0.11,0.25,0.76,0.08,1.57
-0.36,1.01,-0.06,0.22,1.04,-0.06,1.57
-0.36,0.88,-0.02,0.31,0.88,-0.03,1.57
-0.36,1.55,-0.05,0.34,1.54,-0.05,1.58
-0.41,1.39,-0.08,0.29,1.50,-0.05,1.58
-0.26,1.28,-0.09,0.24,1.34,-0.10,1.57
-0.18,0.76,0.02,0.17,0.74,0.09,1.57
-0.18,0.80,0.05,0.19,0.76,0.10,1.57
-0.14,0.87,0.04,0.19,1.12,-0.18,1.56
-0.12,0.79,0.08,0.28,1.31,-0.08,1.57
-0.08,0.72,0.01,0.30,1.05,0.06,1.56
-0.19,1.35,-0.14,0.35,0.99,0.10,1.57
-0.53,1.28,-0.03,0.48,1.30,-0.02,1.58
-0.81,1.28,0.09,0.70,1.27,0.14,1.58
-0.51,1.28,-0.09,0.40,1.29,-0.07,1.58
-0.38,1.45,-0.15,0.31,1.45,-0.10,1.57
-0.39,1.30,-0.12,0.24,0.70,0.22,1.57
-0.50,0.85,0.06,0.24,0.84,0.12,1.57
-0.39,0.95,0.02,0.21,1.06,-0.02,1.57
-0.29,1.34,-0.16,0.15,1.35,-0.13,1.57
-0.19,1.30,-0.16,0.13,1.26,-0.18,1.56
-0.19,0.76,0.13,0.12,0.77,0.12,1.57
-0.20,1.21,-0.01,0.14,1.11,-0.08,1.57
-0.19,1.23,-0.11,0.15,1.21,-0.13,1.57
-0.19,0.80,-0.00,0.15,0.77,0.01,1.56
-0.21,0.91,-0.03,0.15,0.90,-0.04,1.57
-0.18,0.84,-0.02,0.14,0.80,-0.00,1.56
-0.35,0.84,-0.01,0.19,0.78,0.05,1.56
-0.21,1.00,-0.04,0.16,0.98,-0.05,1.58
-0.17,0.87,-0.04,0.09,0.84,-0.04,1.50
-0.21,1.04,-0.10,0.12,1.05,-0.10,1.44
-0.23,1.33,-0.12,0.16,1.34,-0.11,1.54
-0.77,1.18,0.19,0.69,1.17,0.26,1.57
-0.39,1.23,-0.05,0.26,1.14,-0.02,1.58
-0.49,1.62,-0.18,0.20,1.14,0.02,1.60
-0.60,1.56,-0.06,0.23,1.09,0.04,1.60
-0.23,1.12,-0.00,0.15,1.29,-0.04,1.59
-0.32,1.13,0.00,0.54,1.71,0.33,1.59
-0.16,1.06,0.05,0.26,1.22,0.01,1.58
-0.08,1.00,0.11,0.15,1.08,0.05,1.58
