velocityDx,velocitySx,velocity,distanza,distanzaDx,distanzaSx,Sesso
0.04,0.04,0.19,0.62,0.12,0.13,1
0.13,0.2,0.12,0.4,0.44,0.66,1
0.1,0.08,0.11,0.36,0.34,0.28,1
0.13,0.14,0.11,0.38,0.43,0.45,1
0.0,0.01,0.11,0.36,0.01,0.04,1
0.01,0.01,0.11,0.37,0.04,0.03,1
0.22,0.18,0.14,0.45,0.74,0.6,1
0.08,0.12,0.13,0.44,0.26,0.41,1
0.06,0.06,0.1,0.35,0.2,0.21,1
0.22,0.21,0.14,0.48,0.74,0.69,1
0.02,0.03,0.13,0.42,0.07,0.09,1
0.17,0.14,0.11,0.37,0.56,0.47,1
0.07,0.04,0.05,0.16,0.22,0.13,1
0.17,0.12,0.32,1.06,0.58,0.39,1
0.04,0.08,0.39,1.3,0.14,0.27,1
0.09,0.1,0.24,0.8,0.31,0.35,1
0.03,0.19,0.36,1.2,0.1,0.63,1
0.03,0.06,0.28,0.92,0.09,0.21,1
0.07,0.16,0.16,0.53,0.22,0.52,1
0.22,0.02,0.34,1.15,0.73,0.08,1
0.1,0.04,0.28,0.94,0.33,0.14,1
0.1,0.06,0.18,0.6,0.33,0.2,1
0.05,0.03,0.11,0.38,0.18,0.09,1
0.12,0.09,0.3,1.01,0.39,0.29,1
0.04,0.05,0.37,1.22,0.15,0.18,1
0.1,0.1,0.18,0.59,0.35,0.35,1
0.05,0.03,0.11,0.38,0.16,0.1,1
0.21,0.19,0.09,0.29,0.71,0.62,1
0.01,0.01,0.09,0.31,0.05,0.04,1
0.01,0.02,0.11,0.36,0.04,0.06,1
0.22,0.21,0.11,0.37,0.75,0.69,1
0.04,0.04,0.1,0.32,0.13,0.14,1
0.19,0.14,0.09,0.3,0.62,0.48,1
0.03,0.03,0.06,0.19,0.09,0.1,1
0.29,0.26,0.33,1.11,0.96,0.88,1
0.02,0.04,0.34,1.12,0.07,0.14,1
0.06,0.08,0.22,0.74,0.2,0.26,1
0.23,0.13,0.15,0.51,0.77,0.43,1
0.08,0.01,0.17,0.55,0.27,0.03,1
0.03,0.02,0.17,0.55,0.09,0.06,1
0.0,0.1,0.25,0.83,0.0,0.32,1
0.01,0.11,0.19,0.62,0.04,0.36,1
0.04,0.1,0.14,0.48,0.12,0.34,1
0.02,0.03,0.1,0.34,0.06,0.09,1
0.12,0.11,0.09,0.29,0.4,0.37,1
0.04,0.04,0.07,0.25,0.14,0.14,1
0.01,0.01,0.1,0.33,0.05,0.04,1
0.2,0.19,0.44,1.48,0.66,0.64,1
0.1,0.11,0.28,0.94,0.35,0.37,1
0.08,0.07,0.16,0.54,0.26,0.24,1
0.03,0.02,0.13,0.44,0.09,0.07,1
0.25,0.25,0.13,0.43,0.84,0.82,1
0.01,0.01,0.14,0.47,0.03,0.04,1
0.01,0.01,0.13,0.42,0.04,0.04,1
0.05,0.04,0.12,0.41,0.17,0.15,1
0.26,0.25,0.11,0.37,0.87,0.82,1
0.03,0.02,0.09,0.3,0.09,0.08,1
0.11,0.11,0.04,0.15,0.36,0.36,1
0.03,0.04,0.06,0.21,0.11,0.13,1
0.09,0.08,0.14,0.47,0.3,0.26,1
0.16,0.19,0.38,1.26,0.53,0.63,1
0.09,0.08,0.26,0.85,0.31,0.28,1
0.05,0.05,0.16,0.53,0.18,0.17,1
0.24,0.22,0.1,0.32,0.8,0.74,1
0.02,0.01,0.13,0.43,0.08,0.05,1
0.21,0.17,0.25,0.84,0.71,0.56,1
0.11,0.11,0.17,0.56,0.36,0.37,1
0.26,0.23,0.07,0.25,0.87,0.78,1
0.06,0.08,0.15,0.49,0.21,0.26,1
0.07,0.05,0.2,0.68,0.22,0.16,1
0.2,0.21,0.23,0.77,0.68,0.7,1
0.12,0.08,0.13,0.43,0.4,0.26,1
0.22,0.2,0.13,0.44,0.73,0.66,1
0.04,0.03,0.18,0.6,0.15,0.11,1
0.07,0.06,0.15,0.51,0.23,0.2,1
0.11,0.08,0.09,0.29,0.36,0.26,1
0.04,0.03,0.03,0.1,0.13,0.1,1
0.01,0.01,0.04,0.13,0.04,0.05,1
0.01,0.0,0.03,0.11,0.03,0.01,1
0.01,0.01,0.02,0.07,0.03,0.04,1
0.02,0.01,0.01,0.05,0.07,0.04,1
0.01,0.0,0.01,0.04,0.02,0.01,1
0.01,0.01,0.02,0.06,0.02,0.03,1
0.01,0.01,0.01,0.05,0.04,0.04,1
0.0,0.0,0.01,0.05,0.01,0.01,1
