x,y,z,x2,y2,z2
-0.15,0.95,0.32,0.20,0.91,0.21
-0.11,0.98,0.30,0.21,0.90,0.29
-0.13,1.07,0.18,0.22,0.96,0.25
-0.10,0.94,0.29,0.22,0.98,0.28
-0.07,1.02,0.31,0.21,1.05,0.29
-0.05,1.14,0.24,0.18,1.11,0.24
-0.08,0.90,0.24,0.21,0.88,0.25
-0.05,0.92,0.32,0.22,0.90,0.31
-0.04,0.98,0.28,0.20,0.97,0.26
-0.03,1.00,0.29,0.20,0.98,0.27
-0.08,1.09,0.24,0.26,1.06,0.22
-0.17,1.26,0.18,0.34,1.26,0.15
-0.42,1.62,0.26,0.57,1.57,0.18
-0.21,1.35,0.23,0.40,1.36,0.20
-0.01,1.07,0.30,0.22,1.05,0.28
0.00,1.11,0.27,0.21,1.10,0.25
0.00,1.11,0.28,0.20,1.10,0.26
-0.00,1.11,0.29,0.19,1.09,0.26
-0.03,1.13,0.29,0.22,1.10,0.26
-0.05,1.14,0.29,0.23,1.12,0.26
-0.12,1.13,0.25,0.28,1.12,0.22
-0.51,1.25,0.27,0.65,1.18,0.19
-0.26,1.10,0.27,0.42,1.03,0.25
-0.27,1.05,0.18,0.24,1.00,0.29
-0.33,1.41,0.16,0.30,1.08,0.28
-0.15,1.07,0.27,0.32,1.04,0.24
-0.06,0.99,0.36,0.46,1.27,0.10
-0.07,1.05,0.32,0.34,1.25,0.18
-0.05,1.09,0.28,0.19,1.08,0.26
-0.06,1.17,0.26,0.19,1.13,0.25
-0.11,1.09,0.22,0.23,1.06,0.19
-0.38,1.25,0.25,0.53,1.22,0.18
-0.14,1.05,0.28,0.31,1.04,0.24
0.00,1.01,0.34,0.19,1.03,0.29
-0.02,1.02,0.31,0.18,1.03,0.28
-0.04,1.20,0.25,0.19,1.16,0.24
-0.10,1.01,0.22,0.20,0.96,0.24
-0.25,1.22,0.22,0.41,1.18,0.18
-0.17,1.22,0.27,0.40,1.22,0.24
-0.06,1.19,0.26,0.23,1.19,0.25
-0.03,0.95,0.31,0.18,0.95,0.29
-0.07,1.04,0.27,0.19,0.99,0.27
-0.25,1.06,0.24,0.22,1.01,0.28
-0.33,1.00,0.28,0.28,1.04,0.23
-0.14,1.02,0.27,0.43,1.06,0.21
-0.12,1.16,0.20,0.26,1.18,0.17
-0.41,1.22,0.22,0.57,1.19,0.20
-0.18,1.08,0.25,0.36,1.12,0.24
-0.12,1.03,0.24,0.28,1.05,0.23
-0.23,1.14,0.21,0.38,1.10,0.22
-0.22,0.95,0.28,0.38,0.92,0.29
-0.14,1.00,0.26,0.28,0.99,0.25
-0.21,0.93,0.26,0.35,0.92,0.24
-0.26,1.24,0.21,0.41,1.23,0.22
-0.12,1.15,0.26,0.30,1.14,0.25
-0.03,1.12,0.30,0.21,1.11,0.29
-0.07,0.92,0.30,0.21,0.91,0.30
-0.07,0.92,0.33,0.20,0.93,0.28
-0.08,0.92,0.35,0.20,1.03,0.21
-0.07,0.90,0.34,0.21,1.08,0.23
-0.07,0.96,0.24,0.23,1.02,0.29
-0.09,1.15,0.23,0.24,1.06,0.28
-0.09,1.13,0.26,0.25,1.11,0.25
-0.31,1.24,0.29,0.48,1.21,0.26
-0.14,1.10,0.27,0.38,1.18,0.25
-0.08,1.04,0.31,0.35,1.14,0.24
-0.15,1.13,0.30,0.37,0.89,0.29
-0.27,0.98,0.28,0.30,0.99,0.26
-0.15,0.97,0.31,0.26,1.04,0.26
-0.10,1.07,0.27,0.24,1.07,0.25
-0.06,1.15,0.26,0.21,1.14,0.26
-0.07,0.94,0.32,0.21,0.96,0.30
-0.05,1.02,0.29,0.20,1.01,0.27
-0.06,0.94,0.28,0.19,0.93,0.27
-0.09,1.17,0.18,0.20,1.16,0.18
-0.07,1.09,0.26,0.19,1.10,0.24
-0.07,1.20,0.26,0.19,1.18,0.23
-0.07,0.91,0.29,0.19,0.88,0.28
-0.06,0.94,0.31,0.20,0.92,0.28
-0.08,1.00,0.17,0.21,1.01,0.18
-0.08,1.11,0.20,0.24,1.11,0.18
-0.24,1.22,0.17,0.42,1.17,0.16
-0.36,1.26,0.21,0.58,1.16,0.24
-0.12,1.03,0.27,0.30,1.02,0.26
-0.08,1.10,0.27,0.22,1.09,0.25
-0.22,1.46,0.43,0.31,1.24,0.21
-0.09,1.25,0.31,0.39,1.36,0.13
-0.09,1.24,0.30,0.61,1.61,0.21
-0.09,1.18,0.26,0.38,1.27,0.20
-0.09,1.17,0.27,0.27,1.16,0.22
-0.09,1.14,0.28,0.26,1.15,0.22
-0.30,1.25,0.19,0.44,1.22,0.14
-0.34,1.19,0.26,0.54,1.15,0.23
-0.06,1.04,0.30,0.22,1.01,0.29
-0.05,1.16,0.26,0.18,1.14,0.24
-0.08,0.94,0.27,0.19,0.92,0.25
-0.07,0.93,0.32,0.19,0.92,0.29
-0.05,0.93,0.27,0.19,0.92,0.26
-0.06,1.14,0.22,0.19,1.12,0.21
-0.06,1.15,0.26,0.18,1.15,0.25
-0.09,0.95,0.25,0.20,0.92,0.26
-0.11,1.19,0.23,0.24,1.17,0.20
