x,y,z,x2,y2,z2
-0.21,1.12,0.18,0.22,0.97,0.25
-0.33,1.27,0.14,0.41,1.22,0.17
-0.65,1.63,0.25,0.67,1.58,0.26
-0.31,1.21,0.18,0.38,1.18,0.20
-0.07,0.92,0.25,0.18,0.91,0.25
-0.12,0.66,0.44,0.14,0.70,0.41
-0.11,0.66,0.48,0.13,0.69,0.43
-0.10,0.66,0.45,0.11,0.69,0.42
-0.11,0.67,0.44,0.12,0.69,0.41
-0.10,0.68,0.39,0.12,0.71,0.36
-0.16,1.06,0.21,0.26,0.99,0.22
-0.72,1.24,0.24,0.71,1.21,0.24
-0.47,1.06,0.19,0.46,0.93,0.23
-0.40,0.95,0.14,0.18,0.76,0.31
-0.43,1.50,0.19,0.25,0.74,0.40
-0.30,1.34,0.30,0.25,0.75,0.36
-0.24,1.33,0.38,0.52,1.07,0.17
-0.20,1.33,0.37,0.35,1.51,0.33
-0.20,1.32,0.25,0.24,1.32,0.20
-0.18,1.17,0.15,0.16,1.16,0.13
-0.26,0.94,0.13,0.30,0.84,0.15
-0.65,1.28,0.36,0.64,1.17,0.35
-0.44,1.15,0.24,0.46,1.03,0.27
-0.19,1.16,0.19,0.19,1.05,0.21
-0.13,1.09,0.24,0.11,1.03,0.27
-0.14,1.16,0.23,0.12,1.14,0.26
-0.15,0.97,0.14,0.14,0.92,0.16
-0.36,1.22,0.17,0.41,1.16,0.18
-0.54,1.30,0.28,0.60,1.20,0.30
-0.27,1.29,0.18,0.27,1.24,0.19
-0.16,0.82,0.26,0.13,0.79,0.26
-0.21,1.03,0.16,0.18,0.81,0.29
-0.32,1.08,0.13,0.15,0.83,0.30
-0.56,1.03,0.20,0.26,0.98,0.28
-0.38,0.97,0.24,0.63,0.94,0.30
-0.30,1.20,0.18,0.28,1.07,0.14
-0.64,1.34,0.19,0.62,1.27,0.16
-0.50,1.26,0.17,0.48,1.18,0.18
-0.40,1.35,0.18,0.41,1.28,0.20
-0.43,1.25,0.16,0.41,1.22,0.20
-0.39,0.70,0.39,0.34,0.70,0.39
-0.39,0.69,0.45,0.35,0.69,0.50
-0.39,0.71,0.39,0.34,0.69,0.49
-0.62,1.21,0.07,0.49,1.04,0.18
-0.36,1.48,0.29,0.38,1.41,0.22
-0.28,1.36,0.19,0.26,1.33,0.15
-0.21,0.77,0.19,0.16,0.77,0.20
-0.24,0.64,0.43,0.16,0.69,0.31
-0.19,0.67,0.36,0.16,0.96,-0.00
-0.22,0.76,0.22,0.13,1.47,0.13
-0.23,0.90,0.03,0.18,1.34,0.21
-0.26,1.46,0.05,0.26,1.26,0.22
-0.25,1.29,0.13,0.27,1.21,0.21
-0.68,1.33,0.26,0.66,1.24,0.32
-0.47,1.11,0.22,0.41,1.11,0.20
-0.25,0.97,0.24,0.39,1.20,0.15
-0.34,1.24,0.21,0.36,0.77,0.23
-0.46,0.85,0.22,0.21,0.79,0.29
-0.24,0.71,0.33,0.24,0.82,0.27
-0.22,1.16,0.15,0.22,1.11,0.19
-0.20,1.14,0.15,0.16,1.10,0.17
-0.18,0.70,0.32,0.14,0.70,0.32
-0.15,0.73,0.26,0.14,0.73,0.27
-0.14,0.71,0.29,0.16,0.72,0.29
-0.21,1.07,0.12,0.16,0.98,0.16
-0.17,1.32,0.26,0.12,1.30,0.24
-0.17,1.24,0.20,0.13,1.20,0.21
-0.16,0.73,0.24,0.16,0.73,0.25
-0.14,0.72,0.28,0.17,0.71,0.29
-0.13,0.96,0.08,0.18,0.92,0.10
-0.23,1.23,0.09,0.19,1.20,0.11
-0.39,1.22,0.13,0.38,1.20,0.11
-0.55,1.23,0.19,0.59,1.08,0.24
-0.37,1.26,0.13,0.27,0.91,0.22
-0.58,1.54,0.09,0.17,0.87,0.27
-0.57,1.45,0.15,0.28,0.95,0.25
-0.27,1.08,0.19,0.42,1.28,0.15
-0.28,1.12,0.21,0.71,1.56,0.30
-0.23,1.09,0.20,0.36,0.98,0.23
-0.21,1.11,0.19,0.18,0.98,0.20
-0.21,1.17,0.18,0.21,1.09,0.16
-0.39,1.26,0.14,0.39,1.18,0.15
-0.63,1.20,0.23,0.65,1.07,0.31
-0.28,1.19,0.11,0.32,1.08,0.15
-0.15,1.19,0.13,0.17,1.15,0.15
-0.15,0.73,0.18,0.16,0.77,0.16
-0.13,0.68,0.31,0.14,0.69,0.30
-0.11,0.69,0.28,0.15,0.69,0.28
-0.17,1.14,0.02,0.15,1.08,0.02
-0.17,1.30,0.10,0.13,1.26,0.09
-0.17,0.96,0.06,0.15,0.96,0.08
-0.24,1.11,0.08,0.25,1.01,0.11
-0.47,1.43,0.10,0.53,1.39,0.11
-0.57,1.57,0.30,0.61,1.54,0.24
-0.30,1.21,0.19,0.31,1.13,0.13
-0.23,1.21,0.19,0.23,1.09,0.11
-0.22,1.21,0.18,0.21,0.73,0.26
-0.18,1.22,0.15,0.19,0.78,0.25
-0.15,1.21,0.19,0.15,0.77,0.22
-0.19,1.17,0.15,0.16,0.81,0.25
-0.20,0.75,0.25,0.21,0.89,0.24
-0.14,1.04,0.22,0.17,1.02,0.25
-0.18,1.05,0.23,0.12,1.00,0.26
-0.21,1.02,0.19,0.12,0.97,0.27
-0.25,1.15,0.16,0.34,1.12,0.21
-0.62,1.28,0.27,0.72,1.22,0.28
-0.32,1.35,0.17,0.44,1.25,0.13
-0.19,1.41,0.26,0.27,1.35,0.16
-0.15,1.26,0.23,0.21,1.22,0.18
-0.18,0.73,0.24,0.26,0.73,0.21
-0.16,0.73,0.27,0.20,0.70,0.26
-0.13,0.72,0.26,0.22,0.72,0.27
-0.15,0.69,0.25,0.23,0.68,0.28
-0.22,1.09,-0.03,0.21,1.03,-0.00
-0.25,1.34,0.12,0.17,1.31,0.07
-0.28,1.23,0.14,0.28,1.20,0.13
-0.34,1.20,0.17,0.37,1.15,0.19
-0.38,1.24,0.13,0.36,1.14,0.14
-0.65,1.64,0.21,0.66,1.53,0.11
-0.43,1.58,0.21,0.53,1.48,0.18
-0.24,1.35,0.15,0.28,1.29,0.15
-0.17,0.86,0.13,0.17,0.87,0.12
-0.26,0.76,0.25,0.29,0.70,0.32
-0.46,1.00,0.06,0.45,0.91,0.11
-0.33,1.44,0.11,0.34,1.35,0.08
-0.18,0.86,0.10,0.15,0.86,0.09
-0.16,0.72,0.25,0.18,0.72,0.25
-0.15,0.86,0.14,0.18,0.81,0.16
-0.21,1.18,0.05,0.21,1.12,0.02
-0.19,1.22,0.04,0.16,1.21,0.05
-0.11,0.74,0.18,0.15,0.70,0.18
-0.16,0.90,0.18,0.09,0.84,0.17
-0.24,1.20,0.26,-0.05,1.18,0.18
-0.29,1.24,0.42,-0.18,1.21,0.26
-0.29,1.22,0.55,-0.31,1.13,0.35
-0.34,1.20,0.53,-0.27,1.06,0.33
-0.21,1.14,0.33,-0.04,1.31,0.22
-0.24,1.25,0.34,-0.03,1.24,0.15
-0.22,1.24,0.29,-0.01,1.21,0.23
-0.19,1.17,0.26,0.07,1.20,0.23
-0.13,1.12,0.25,0.06,1.15,0.21
-0.24,1.31,0.40,0.12,1.28,0.23
-0.25,1.13,0.27,0.03,1.07,0.15
